FCFS Results
PID,Start time,Waiting time,Finish time,Turnaround time
91,0,0,85,85
58,85,84,146,145
26,146,143,214,211
65,214,211,269,266
101,269,266,280,277
17,280,276,287,283
109,287,283,311,307
8,311,306,403,398
62,403,398,502,497
111,502,497,549,544
30,549,543,564,558
85,564,558,627,621
35,627,619,639,631
116,639,630,651,642
72,651,641,687,677
79,687,676,739,728
104,739,728,833,822
64,833,820,861,848
3,861,847,907,893
6,907,893,924,910
13,924,910,954,940
21,954,940,991,977
76,991,977,1065,1051
59,1065,1050,1092,1077
9,1092,1075,1094,1077
54,1094,1076,1102,1084
66,1102,1084,1179,1161
44,1179,1160,1199,1180
60,1199,1180,1276,1257
86,1276,1257,1282,1263
97,1282,1263,1363,1344
33,1363,1341,1428,1406
114,1428,1406,1448,1426
113,1448,1425,1528,1505
20,1528,1504,1597,1573
112,1597,1573,1663,1639
46,1663,1638,1758,1733
2,1758,1731,1768,1741
68,1768,1741,1826,1799
50,1826,1798,1859,1831
121,1859,1830,1918,1889
37,1918,1888,1953,1923
73,1953,1923,2032,2002
120,2032,2002,2131,2101
100,2131,2100,2210,2179
32,2210,2177,2251,2218
47,2251,2218,2283,2250
14,2283,2249,2318,2284
84,2318,2284,2327,2293
7,2327,2291,2372,2336
18,2372,2336,2400,2364
48,2400,2363,2429,2392
106,2429,2391,2501,2463
4,2501,2461,2584,2544
40,2584,2544,2649,2609
123,2649,2609,2700,2660
12,2700,2659,2727,2686
96,2727,2686,2732,2691
0,2732,2690,2742,2700
27,2742,2700,2757,2715
82,2757,2715,2849,2807
93,2849,2807,2943,2901
95,2943,2901,3038,2996
55,3038,2992,3090,3044
87,3090,3044,3097,3051
24,3097,3050,3169,3122
22,3169,3120,3263,3214
11,3263,3213,3267,3217
29,3267,3215,3359,3307
41,3359,3307,3421,3369
53,3421,3368,3467,3414
88,3467,3414,3524,3471
38,3524,3470,3534,3480
108,3534,3479,3634,3579
89,3634,3577,3656,3599
52,3656,3598,3739,3681
10,3739,3680,3774,3715
51,3774,3715,3842,3783
75,3842,3783,3908,3849
80,3908,3849,3929,3870
1,3929,3868,3983,3922
31,3983,3922,4044,3983
78,4044,3981,4059,3996
36,4059,3995,4137,4073
16,4137,4072,4148,4083
119,4148,4082,4237,4171
43,4237,4170,4291,4224
94,4291,4224,4320,4253
110,4320,4252,4334,4266
34,4334,4265,4369,4300
57,4369,4300,4462,4393
105,4462,4389,4492,4419
90,4492,4416,4546,4470
25,4546,4469,4558,4481
107,4558,4479,4573,4494
74,4573,4490,4624,4541
83,4624,4541,4626,4543
