FCFS Results
PID,Start time,Waiting time,Finish time,Turnaround time
115,4626,4542,4685,4601
67,4685,4600,4743,4658
28,4743,4657,4815,4729
71,4815,4729,4816,4730
122,4816,4730,4882,4796
5,4882,4793,4953,4864
77,4953,4864,4991,4902
103,4991,4902,5066,4977
42,5066,4976,5139,5049
81,5139,5049,5201,5111
70,5201,5110,5231,5140
92,5231,5139,5256,5164
45,5256,5163,5272,5179
49,5272,5179,5341,5248
39,5341,5246,5425,5330
98,5425,5330,5520,5425
117,5520,5425,5523,5428
118,5523,5427,5525,5429
19,5525,5428,5621,5524
63,5621,5524,5639,5542
99,5639,5542,5680,5583
124,5680,5583,5702,5605
15,5702,5604,5768,5670
23,5768,5670,5782,5684
61,5782,5684,5812,5714
69,5812,5713,5858,5759
102,5858,5759,5875,5776
56,5875,5775,5935,5835

FCFS Averages
Average Waiting Time,Average Turnaround Time,Average Finish Time
2930.432,2977.912,3026.624

SJF Results
PID,Start time,Waiting time,Finish time,Turnaround time
91,0,0,85,85
9,85,68,87,70
71,87,1,88,2
83,88,5,90,7
11,90,40,94,44
96,94,53,99,58
118,99,3,101,5
117,101,6,104,9
86,104,85,110,91
17,110,106,117,113
87,117,71,124,78
54,124,106,132,114
84,132,98,141,107
2,141,114,151,124
0,151,109,161,119
38,161,107,171,117
101,171,168,182,179
16,182,117,193,128
35,193,185,205,197
116,205,196,217,208
25,217,140,229,152
110,229,161,243,175
23,243,145,257,159
30,257,251,272,266
27,272,230,287,245
78,287,224,302,239
107,302,223,317,238
45,317,224,333,240
6,333,319,350,336
102,350,251,367,268
63,367,270,385,288
44,385,366,405,386
114,405,383,425,403
80,425,366,446,387
89,446,389,468,411
124,468,371,490,393
109,490,486,514,510
92,514,422,539,447
59,539,524,566,551
12,566,525,593,552
64,593,580,621,608
18,621,585,649,613
48,649,612,678,641
94,678,611,707,640
13,707,693,737,723
105,737,664,767,694
70,767,676,797,706
61,797,699,827,729
47,827,794,859,826
50,859,831,892,864
37,892,862,927,897
14,927,893,962,928
10,962,903,997,938
34,997,928,1032,963
72,1032,1022,1068,1058
21,1068,1054,1105,1091
77,1105,1016,1143,1054
32,1143,1110,1184,1151
99,1184,1087,1225,1128
7,1225,1189,1270,1234
3,1270,1256,1316,1302
53,1316,1263,1362,1309
69,1362,1263,1408,1309
111,1408,1403,1455,1450
123,1455,1415,1506,1466
74,1506,1423,1557,1474
79,1557,1546,1609,1598
55,1609,1563,1661,1615
1,1661,1600,1715,1654
43,1715,1648,1769,1702
90,1769,1693,1823,1747
65,1823,1820,1878,1875
88,1878,1825,1935,1882
68,1935,1908,1993,1966
67,1993,1908,2051,1966
121,2051,2022,2110,2081
115,2110,2026,2169,2085
56,2169,2069,2229,2129
58,2229,2228,2290,2289
31,2290,2229,2351,2290
41,2351,2299,2413,2361
81,2413,2323,2475,2385
85,2475,2469,2538,2532
33,2538,2516,2603,2581
40,2603,2563,2668,2628
112,2668,2644,2734,2710
75,2734,2675,2800,2741
122,2800,2714,2866,2780
15,2866,2768,2932,2834
26,2932,2929,3000,2997
51,3000,2941,3068,3009
20,3068,3044,3137,3113
49,3137,3044,3206,3113
5,3206,3117,3277,3188
106,3277,3239,3349,3311
24,3349,3302,3421,3374
28,3421,3335,3493,3407
42,3493,3403,3566,3476
76,3566,3552,3640,3626
103,3640,3551,3715,3626
66,3715,3697,3792,3774
60,3792,3773,3869,3850
36,3869,3805,3947,3883
73,3947,3917,4026,3996
100,4026,3995,4105,4074
113,4105,4082,4185,4162
97,4185,4166,4266,4247
4,4266,4226,4349,4309
52,4349,4291,4432,4374
39,4432,4337,4516,4421
119,4516,4450,4605,4539
8,4605,4600,4697,4692
82,4697,4655,4789,4747
29,4789,4737,4881,4829
57,4881,4812,4974,4905
104,4974,4963,5068,5057
93,5068,5026,5162,5120
22,5162,5113,5256,5207
46,5256,5231,5351,5326
95,5351,5309,5446,5404
98,5446,5351,5541,5446
19,5541,5444,5637,5540
62,5637,5632,5736,5731
120,5736,5706,5835,5805
108,5835,5780,5935,5880

SJF Averages
Average Waiting Time,Average Turnaround Time,Average Finish Time
1874.808,1922.288,1971.0
